"date","test","positive","death"
2020-02-01,0,0,0
2020-02-02,0,0,0
2020-02-03,1,0,0
2020-02-04,0,0,0
2020-02-05,4,0,0
2020-02-06,0,0,0
2020-02-07,2,0,0
2020-02-08,0,0,0
2020-02-09,0,0,0
2020-02-10,1,0,0
2020-02-11,6,0,0
2020-02-13,0,0,0
2020-02-14,13,0,0
2020-02-15,0,0,0
2020-02-16,2,0,0
2020-02-17,0,0,0
2020-02-18,0,0,0
2020-02-19,0,0,0
2020-02-20,0,0,0
2020-02-21,0,0,0
2020-02-22,1,0,0
2020-02-23,0,0,0
2020-02-24,0,0,0
2020-02-25,1,0,0
2020-02-26,0,0,0
2020-02-27,2,0,0
2020-02-28,2,0,0
2020-02-29,1,0,0
2020-03-01,0,0,0
2020-03-02,0,0,0
2020-03-03,4,0,0
2020-03-04,5,0,0
2020-03-05,2,0,0
2020-03-06,4,0,0
2020-03-07,13,0,0
2020-03-08,6,0,0
2020-03-09,7,0,0
2020-03-10,3,0,0
2020-03-11,6,0,0
2020-03-12,5,0,0
2020-03-13,12,0,0
2020-03-14,9,0,0
2020-03-15,5,0,0
2020-03-16,7,0,0
2020-03-17,5,0,0
2020-03-18,8,0,0
2020-03-19,13,0,0
2020-03-20,17,0,0
2020-03-21,11,0,0
2020-03-22,10,0,0
2020-03-23,14,2,0
2020-03-24,2,0,0
2020-03-25,41,1,0
2020-03-26,48,2,0
2020-03-27,62,3,0
2020-03-28,44,0,0
2020-03-29,82,2,0
2020-03-30,55,4,0
2020-03-31,67,1,1
2020-04-01,56,1,0
2020-04-02,62,4,0
2020-04-03,55,0,0
2020-04-04,84,1,0
2020-04-05,55,0,0
2020-04-06,46,1,0
2020-04-07,32,0,0
2020-04-08,33,0,2
2020-04-09,92,1,0
2020-04-10,44,5,0
2020-04-10,78,0,0
2020-04-11,223,3,0
2020-04-12,285,10,1
2020-04-13,81,0,0
2020-04-13,93,0,0
2020-04-14,136,22,0
2020-04-14,381,0,0
2020-04-15,400,11,0
2020-04-16,113,11,0
2020-04-16,269,0,0
2020-04-17,378,9,0
2020-04-18,272,13,1
2020-04-19,369,4,0
2020-04-20,427,8,0
2020-04-21,279,2,0
2020-04-22,252,6,0
2020-04-23,265,12,0
2020-04-24,350,5,0
2020-04-25,426,2,0
2020-04-26,347,0,0
2020-04-27,345,0,0
2020-04-28,413,4,0
2020-04-29,294,0,1
2020-04-30,237,1,0
2020-05-01,196,0,0
2020-05-02,378,0,0
2020-05-03,252,4,0
2020-05-04,271,6,0
2020-05-05,655,0,0
2020-05-06,406,1,0
2020-05-07,247,14,0
2020-05-08,582,1,0
2020-05-09,453,1,0
2020-05-10,284,2,0
2020-05-11,353,0,0
2020-05-12,275,0,0
2020-05-13,440,1,0
2020-05-14,523,0,0
2020-05-15,694,1,0
2020-05-16,417,0,0
2020-05-17,576,5,0
2020-05-18,597,4,0
2020-05-19,718,2,0
2020-05-20,722,6,0
2020-05-21,627,0,0
2020-05-22,740,2,0
2020-05-23,781,0,0
2020-05-24,914,0,0
2020-05-25,777,2,0
2020-05-26,1312,3,0
2020-05-27,1343,0,0
2020-05-28,1211,0,0
2020-05-29,1214,18,0
2020-05-30,1338,0,0
2020-05-31,1560,4,0
2020-06-01,1246,0,0
2020-06-02,1862,5,0
2020-06-03,1905,1,0
2020-06-04,1936,2,0
2020-06-05,1872,0,0
2020-06-06,1934,4,0
2020-06-07,2097,3,0
2020-06-08,1556,1,0
2020-06-09,2054,2,0
2020-06-10,1613,3,0
2020-06-11,2196,12,0
2020-06-12,1804,0,0
2020-06-13,2047,0,0
2020-06-14,1994,1,0
2020-06-15,2091,0,0
2020-06-16,2363,0,0
2020-06-17,2096,1,0
2020-06-18,2422,23,0
2020-06-19,2152,0,0
2020-06-20,2242,1,0
2020-06-21,1570,3,0
2020-06-22,1789,1,0
2020-06-23,1997,1,0
2020-06-24,2330,1,0
2020-06-25,2018,0,0
2020-06-26,1722,0,0
2020-06-27,1965,3,0
2020-06-28,1767,3,0
2020-06-29,1741,0,0
2020-06-30,1708,0,0
2020-07-01,1340,5,0
2020-07-02,1753,0,0
2020-07-03,1555,2,0
2020-07-04,1816,7,0
2020-07-05,958,0,0
