test,date_announced,positive,deaths
0,1/02/2020,0,0
0,2/02/2020,0,0
1,3/02/2020,0,0
0,4/02/2020,0,0
4,5/02/2020,0,0
0,6/02/2020,0,0
2,7/02/2020,0,0
0,8/02/2020,0,0
0,9/02/2020,0,0
1,10/02/2020,0,0
6,11/02/2020,0,0
0,13/02/2020,0,0
13,14/02/2020,0,0
0,15/02/2020,0,0
2,16/02/2020,0,0
0,17/02/2020,0,0
0,18/02/2020,0,0
0,19/02/2020,0,0
0,20/02/2020,0,0
0,21/02/2020,0,0
1,22/02/2020,0,0
0,23/02/2020,0,0
0,24/02/2020,0,0
1,25/02/2020,0,0
0,26/02/2020,0,0
2,27/02/2020,0,0
2,28/02/2020,0,0
1,29/02/2020,0,0
0,1/03/2020,0,0
0,2/03/2020,0,0
4,3/03/2020,0,0
5,4/03/2020,0,0
2,5/03/2020,0,0
4,6/03/2020,0,0
13,7/03/2020,0,0
6,8/03/2020,0,0
7,9/03/2020,0,0
3,10/03/2020,0,0
6,11/03/2020,0,0
5,12/03/2020,0,0
12,13/03/2020,0,0
9,14/03/2020,0,0
5,15/03/2020,0,0
7,16/03/2020,0,0
5,17/03/2020,0,0
8,18/03/2020,0,0
13,19/03/2020,0,0
17,20/03/2020,0,0
11,21/03/2020,0,0
10,22/03/2020,0,0
14,23/03/2020,2,0
2,24/03/2020,0,0
41,25/03/2020,1,0
48,26/03/2020,2,0
62,27/03/2020,3,0
44,28/03/2020,0,0
82,29/03/2020,2,0
55,30/03/2020,4,0
67,31/03/2020,1,1
56,1/04/2020,1,0
62,2/04/2020,4,0
55,3/04/2020,0,0
84,4/04/2020,1,0
55,5/04/2020,0,0
46,6/04/2020,1,0
32,7/04/2020,0,0
33,8/04/2020,0,2
92,9/04/2020,1,0
44,10/04/2020,5,0
78,10/04/2020,0,0
223,11/04/2020,3,0
285,12/04/2020,10,1
81,13/04/2020,0,0
93,13/04/2020,0,0
136,14/04/2020,22,0
381,14/04/2020,0,0
400,15/04/2020,11,0
113,16/04/2020,11,0
269,16/04/2020,0,0
378,17/04/2020,9,0
272,18/04/2020,13,1
369,19/04/2020,4,0
427,20/04/2020,8,0
279,21/04/2020,2,0
252,22/04/2020,6,0
265,23/04/2020,12,0
350,24/04/2020,5,0
426,25/04/2020,2,0
347,26/04/2020,0,0
345,27/04/2020,0,0
413,28/04/2020,4,0
294,29/04/2020,0,1
237,30/04/2020,1,0
196,1/05/2020,0,0
378,2/05/2020,0,0
252,3/05/2020,4,0
271,4/05/2020,6,0
655,5/05/2020,0,0
406,6/05/2020,1,0
247,7/05/2020,14,0
582,8/05/2020,1,0
453,9/05/2020,1,0
284,10/05/2020,2,0
353,11/05/2020,0,0
275,12/05/2020,0,0
440,13/05/2020,1,0
523,14/05/2020,0,0
694,15/05/2020,1,0
417,16/05/2020,0,0
576,17/05/2020,5,0
597,18/05/2020,4,0
718,19/05/2020,2,0
722,20/05/2020,6,0
627,21/05/2020,0,0
740,22/05/2020,2,0
781,23/05/2020,0,0
914,24/05/2020,0,0
777,25/05/2020,2,0
1312,26/05/2020,3,0
1343,27/05/2020,0,0
1211,28/05/2020,0,0
1214,29/05/2020,18,0
1338,30/05/2020,0,0
1560,31/05/2020,4,0
1246,1/06/2020,0,0
1862,2/06/2020,5,0
1905,3/06/2020,1,0
1936,4/06/2020,2,0
1872,5/06/2020,0,0
1934,6/06/2020,4,0
2097,7/06/2020,3,0
1556,8/06/2020,1,0
2054,9/06/2020,2,0
1613,10/06/2020,3,0
2196,11/06/2020,12,0
1804,12/06/2020,0,0
2047,13/06/2020,0,0
1994,14/06/2020,1,0
